date,totalPoints,remaining,ideal
03.24.2014,16,8,14
03.25.2014,16,8,13
03.26.2014,16,8,11
03.27.2014,16,8,10
03.28.2014,16,8,8
03.29.2014,16,8,7
03.30.2014,16,8,5
03.31.2014,16,4,4
04.01.2014,16,4,2
04.02.2014,16,0,1
04.03.2014,16,0,0
