date,totalPoints,remaining,ideal
03.03.2014,30,26,28
03.04.2014,30,26,26
03.05.2014,30,26,24
03.06.2014,30,26,22
03.07.2014,31,19,20
03.08.2014,31,19,18
03.09.2014,31,19,16
03.10.2014,31,18,14
03.11.2014,31,18,12
03.12.2014,31,18,10
03.13.2014,31,18,8
03.14.2014,31,18,6
03.15.2014,31,18,4
03.16.2014,31,18,2
03.17.2014,31,18,0
