date,totalPoints,remaining,ideal
04.28.2014,23,19,21
04.29.2014,25,21,22
04.30.2014,25,21,21
05.01.2014,29,11,23
05.02.2014,29,11,22
05.03.2014,31,13,22
05.04.2014,31,13,21
05.05.2014,31,13,19
05.06.2014,31,13,18
05.07.2014,31,13,16
05.08.2014,33,9,16
05.09.2014,34,9,15
05.10.2014,34,9,13
05.11.2014,34,4,12
05.12.2014,34,4,10
05.13.2014,34,4,9
05.14.2014,34,4,7
05.15.2014,34,4,6
05.16.2014,34,4,4
05.17.2014,34,4,3
05.18.2014,34,4,1
05.19.2014,34,0,0
