date,totalPoints,remaining,ideal
04.14.2014,25,21,23
04.15.2014,25,21,21
04.16.2014,25,21,20
04.17.2014,25,21,18
04.18.2014,25,21,16
04.19.2014,25,21,15
04.20.2014,25,21,13
04.21.2014,25,13,11
04.22.2014,25,13,10
04.23.2014,25,13,8
04.24.2014,25,13,6
04.25.2014,25,13,4
04.26.2014,28,7,3
04.27.2014,28,0,1
04.28.2014,28,0,0
