date,totalPoints,remaining,ideal
03.03.2014,30,26,28
03.04.2014,30,26,27
03.05.2014,30,26,25
03.06.2014,30,26,24
03.07.2014,31,19,23
03.08.2014,31,19,22
03.09.2014,31,19,21
03.10.2014,31,18,19
03.11.2014,31,18,18
03.12.2014,31,18,16
03.13.2014,31,18,15
03.14.2014,31,18,14
03.15.2014,31,18,12
03.16.2014,31,18,11
03.17.2014,31,5,9
03.18.2014,31,5,8
03.19.2014,31,5,7
03.20.2014,31,5,5
03.21.2014,31,5,4
03.22.2014,31,5,2
03.23.2014,31,5,1
03.24.2014,31,0,0
