date,totalPoints,remaining,ideal
02.17.2014,23,16,21
02.18.2014,28,21,24
02.19.2014,31,13,24
02.20.2014,31,13,22
02.21.2014,31,13,20
02.22.2014,31,13,18
02.23.2014,31,8,16
02.24.2014,37,8,17
02.25.2014,37,8,14
02.26.2014,37,8,12
02.27.2014,37,7,9
02.28.2014,37,7,7
03.01.2014,37,7,4
03.02.2014,37,7,2
03.03.2014,37,0,0
